LABCENTER PROTEUS PICK AND PLACE FILE
=====================================

Component positions for Hardware.pdsprj

Fields: Part ID, Value, Package, Layer, Rotation, X, Y
Units:  Rotation - degrees, X, Y  - mm
Notes:  The X, Y value is the centre of package as drawn in ARES.
        The origin for these values is the Output Origin.
        The values are a guide only and must be checked manually when
        setting up automatic insertion equipment.

"D2","SS34","DO214",TOP,0,8.3014,29.0154
"USB","TYPE-C-31-M-12","TYPE-C-31-M-12",TOP,90,5.24137,36.0624
"C1","100n","0603_CAP",TOP,90,9.51887,39.946
"R2","5.1K","RESC1608X50A",TOP,270,11.0189,32.3549
"R1","5.1K","RESC1608X50A",TOP,90,11.0189,39.9097
"D1","SQV05C","SOT95P280X145-5N",TOP,180,10.9785,36.092
"C2","100n","0603_CAP",TOP,270,9.51887,32.3188
"U1","STM32G474VET6TR","QFP50P1600X1600X160-100N",TOP,0,64.2,44.4
"C13","100n","0603_CAP",TOP,270,64.1,34.1364
"C16","100n","0603_CAP",TOP,0,74.4636,50.4
"C15","100n","0603_CAP",TOP,0,74.4636,44.9
"C14","100n","0603_CAP",TOP,270,69.7,34.1364
"C17","100n","0603_CAP",TOP,90,58.2,54.6636
"C18","100n","0603_CAP",TOP,90,55,48.7636
"C19","100n","0603_CAP",TOP,180,53.9364,38.9
"C4","1.0u","CAPC1608X87",TOP,270,48.3182,54.4428
"C5","100n","0603_CAP",TOP,270,49.7,54.4364
"C6","100n","0603_CAP",TOP,90,52.4,57.9364
"C7","1.0u","CAPC1608X87",TOP,90,54,57.9
"B1","GZ2012D601TF","BEADC2012X105N",TOP,0,49.1,57.2
"U2","LP5907MFX-3","SOT95P280X145-5N",TOP,0,52.75,54.45
"C9","1.0u","CAPC1608X87",TOP,0,64.5572,25.9182
"C10","100n","0603_CAP",TOP,0,64.5636,27.3
"B2","GZ2012D601TF","BEADC2012X105N",TOP,90,61.8,26.6
"U3","LP5907MFX-3","SOT95P280X145-5N",TOP,90,64.55,30.35
"R3","0","RESC1608X50A",TOP,90,62.8,34.1999
"C12","1.0u","CAPC1608X87",TOP,270,62.2,30.8
"C8","47u","CAPC3216X140",TOP,270,56.2,54.5
"BOOT","SKRKAEE020","SKRKAEE020",TOP,0,67.2,68.8
"C23","100n","0603_CAP",TOP,270,55,42.5364
"C22","100n","0603_CAP",TOP,90,58.1781,57.8962
"RESET","SKRKAEE020","SKRKAEE020",TOP,0,56,68.8
"R4","56K","RESC1608X50A",TOP,270,59.6107,57.8545
"U4","W25Q128JVSIQ","SOIC127P790X216-8N",TOP,270,82.635,39.2
"R10","51.0","RESC1608X50A",TOP,270,81.935,33.0999
"R11","51.0","RESC1608X50A",TOP,270,80.735,33.0999
"R9","51.0","RESC1608X50A",TOP,270,83.235,45.3001
"R8","51.0","RESC1608X50A",TOP,270,84.535,45.2999
"C24","47u","CAPC3216X140",TOP,270,78.535,39.2
"C25","1.0u","CAPC1608X87",TOP,180,81.235,46.1
"C26","100n","0603_CAP",TOP,180,81.1714,44.5
"STLINK","CONN-SIL4","CONN-SIL4-HIGH ANGLE",TOP,0,11.9,21.21
"C27","220u","CAPAE830X1080N",TOP,90,105.8,16.25
"C28","47u","CAPC3216X140",TOP,90,120.482,27.2001
"C29","1.0u","CAPC1608X87",TOP,0,120.5,24.3
"R12","51.0","RESC1608X50A",TOP,0,112.3,56.3
"R13","51.0","RESC1608X50A",TOP,0,112.3,53.8
"R14","51.0","RESC1608X50A",TOP,0,112.3,51.3
"R15","51.0","RESC1608X50A",TOP,0,112.3,48.8
"R16","51.0","RESC1608X50A",TOP,0,112.3,46.2
